song,valence,arousal,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,begin.keys,begin.rt,rating.response,arousalrating.response,arousalrating.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,space,1.8843768890000092,,,,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
,,,,,,,,,0.67,,,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
,,,,,,,,,,0.27,1.634,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoH2.wav,2,2,0,0,0,5,,,0.67,0.73,2.635,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoS3.wav,1,1,0,1,1,10,,,0.3,0.25,1.248,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoH3.wav,2,2,0,2,2,6,,,0.66,0.68,3.909,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoT2.wav,2,1,0,3,3,13,,,0.76,0.14,1.697,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoF1.wav,1,2,0,4,4,0,,,0.27,0.7,1.7,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoH4.wav,2,2,0,5,5,7,,,0.69,0.7,1.569,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoT4.wav,2,1,0,6,6,15,,,0.2,0.32,2.202,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoS4.wav,1,1,0,7,7,11,,,0.25,0.28,1.596,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoF2.wav,1,2,0,8,8,1,,,0.32,0.73,1.382,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoS1.wav,1,1,0,9,9,8,,,0.22,0.26,1.265,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoT3.wav,2,1,0,10,10,14,,,0.59,0.24,2.298,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoT1.wav,2,1,0,11,11,12,,,0.69,0.35,1.914,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoS2.wav,1,1,0,12,12,9,,,0.31,0.29,2.098,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoH1.wav,2,2,0,13,13,4,,,0.63,0.68,1.213,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoF3.wav,1,2,0,14,14,2,,,0.27,0.66,1.679,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
30MonoWAV/30MonoF4.wav,1,2,0,15,15,3,,,0.32,0.62,1.235,,,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
,,,,,,,,,,,,space,3.1692528020000736,1,001,2019_Feb_11_1155,MusicAffectPsychophysiology2019,3.0.3,60.01040388370001,
