Instruction,Word,song,valence,arousal,marker,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,WordResponse.keys,WordResponse.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,space,1.700894292999692,,,,,,,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
,,,,,,,,,,,,,,,,,,,,1,134.05329298800007,,,,,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
,,,,,,,,,,,,,,,,,,,,,,1,0.5677135200003249,,,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,ALERT,,,,,0,0,0,8,,,,,,,,,,,,,,,1,1.5014446309996856,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,ASHAMED,,,,,0,1,1,4,,,,,,,,,,,,,,,1,0.6517302060001384,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,ANXIOUS ,,,,,0,2,2,1,,,,,,,,,,,,,,,1,0.36859196100067493,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,HAPPY,,,,,0,3,3,6,,,,,,,,,,,,,,,1,0.3849035160001222,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,GUILTY,,,,,0,4,4,5,,,,,,,,,,,,,,,1,0.368752262000271,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,FRUSTRATED,,,,,0,5,5,3,,,,,,,,,,,,,,,1,0.3686819349995858,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,SCARED,,,,,0,6,6,11,,,,,,,,,,,,,,,1,0.35216103399943677,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,TENDER,,,,,0,7,7,10,,,,,,,,,,,,,,,1,0.33481723999921087,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,ANGRY,,,,,0,8,8,2,,,,,,,,,,,,,,,1,0.35248930000034306,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,ACTIVE,,,,,0,9,9,9,,,,,,,,,,,,,,,1,0.33481355999992957,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,SAD,,,,,0,10,10,0,,,,,,,,,,,,,,,1,0.383779818000221,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,EXCITED,,,,,0,11,11,7,,,,,,,,,,,,,,,1,0.30176545399990573,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,ANXIOUS ,30MonoWAV/30MonoF3.wav,1,2,3,,,,,0,0,0,2,0,0,0,1,,,1,43.19356709099975,1,0.569414001000041,1,6.367581079999582,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,HAPPY,30MonoWAV/30MonoF3.wav,1,2,3,,,,,0,0,0,2,0,1,1,6,,,,,,,1,0.4693653849999464,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,TENDER,30MonoWAV/30MonoF3.wav,1,2,3,,,,,0,0,0,2,0,2,2,10,,,,,,,1,0.3340001980004672,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,SCARED,30MonoWAV/30MonoF3.wav,1,2,3,,,,,0,0,0,2,0,3,3,11,,,,,,,1,0.2681162190001487,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,GUILTY,30MonoWAV/30MonoF3.wav,1,2,3,,,,,0,0,0,2,0,4,4,5,,,,,,,1,0.3327891369999634,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,ALERT,30MonoWAV/30MonoF3.wav,1,2,3,,,,,0,0,0,2,0,5,5,8,,,,,,,1,0.4020972360003725,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,FRUSTRATED,30MonoWAV/30MonoF3.wav,1,2,3,,,,,0,0,0,2,0,6,6,3,,,,,,,1,0.5184193089999098,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,ACTIVE,30MonoWAV/30MonoF3.wav,1,2,3,,,,,0,0,0,2,0,7,7,9,,,,,,,1,0.5684371779998401,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,EXCITED,30MonoWAV/30MonoF3.wav,1,2,3,,,,,0,0,0,2,0,8,8,7,,,,,,,1,0.46855444199991325,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,ASHAMED,30MonoWAV/30MonoF3.wav,1,2,3,,,,,0,0,0,2,0,9,9,4,,,,,,,1,0.4683454760006498,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,SAD,30MonoWAV/30MonoF3.wav,1,2,3,,,,,0,0,0,2,0,10,10,0,,,,,,,1,0.6341449749997992,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
To what extent did the music make you feel ,ANGRY,30MonoWAV/30MonoF3.wav,1,2,3,,,,,0,0,0,2,0,11,11,2,,,,,,,1,0.5690313390005031,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
,,30MonoWAV/30MonoF3.wav,1,2,3,,,,,0,0,0,2,,,,,,,,,,,,,999,001,2019_Apr_09_1547,MusicAffectPsychophysiology2019,3.0.5,60.29584833292649,
