Instruction,Word,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,song,valence,arousal,marker,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,WordResponse.keys,WordResponse.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,space,1.549007151999831,,,,,,,999,001,2019_Apr_09_1554,MusicAffectPsychophysiology2019,3.0.5,59.903881825196414,
,,,,,,,,,,,,,,,,1,6.0335430830000405,,,,,999,001,2019_Apr_09_1554,MusicAffectPsychophysiology2019,3.0.5,59.903881825196414,
,,,,,,,,,,,,,,,,,,1,0.319086741999854,,,999,001,2019_Apr_09_1554,MusicAffectPsychophysiology2019,3.0.5,59.903881825196414,
To what extent did the music make you feel ,ANXIOUS ,0,0,0,1,,,,,,,,,,,,,,,1,0.451785745000052,999,001,2019_Apr_09_1554,MusicAffectPsychophysiology2019,3.0.5,59.903881825196414,
To what extent did the music make you feel ,HAPPY,0,1,1,6,,,,,,,,,,,,,,,1,0.36830008899960376,999,001,2019_Apr_09_1554,MusicAffectPsychophysiology2019,3.0.5,59.903881825196414,
To what extent did the music make you feel ,SAD,0,2,2,0,,,,,,,,,,,,,,,1,0.2851715349997903,999,001,2019_Apr_09_1554,MusicAffectPsychophysiology2019,3.0.5,59.903881825196414,
To what extent did the music make you feel ,ASHAMED,0,3,3,4,,,,,,,,,,,,,,,1,0.2352032210001198,999,001,2019_Apr_09_1554,MusicAffectPsychophysiology2019,3.0.5,59.903881825196414,
To what extent did the music make you feel ,GUILTY,0,4,4,5,,,,,,,,,,,,,,,1,0.2359609429995544,999,001,2019_Apr_09_1554,MusicAffectPsychophysiology2019,3.0.5,59.903881825196414,
To what extent did the music make you feel ,ANGRY,0,5,5,2,,,,,,,,,,,,,,,1,0.2684307439994882,999,001,2019_Apr_09_1554,MusicAffectPsychophysiology2019,3.0.5,59.903881825196414,
To what extent did the music make you feel ,TENDER,0,6,6,10,,,,,,,,,,,,,,,1,0.2524900759999582,999,001,2019_Apr_09_1554,MusicAffectPsychophysiology2019,3.0.5,59.903881825196414,
To what extent did the music make you feel ,ALERT,0,7,7,8,,,,,,,,,,,,,,,1,0.3017053890007446,999,001,2019_Apr_09_1554,MusicAffectPsychophysiology2019,3.0.5,59.903881825196414,
To what extent did the music make you feel ,ACTIVE,0,8,8,9,,,,,,,,,,,,,,,1,0.40218221400027687,999,001,2019_Apr_09_1554,MusicAffectPsychophysiology2019,3.0.5,59.903881825196414,
To what extent did the music make you feel ,EXCITED,0,9,9,7,,,,,,,,,,,,,,,1,0.5694567649998135,999,001,2019_Apr_09_1554,MusicAffectPsychophysiology2019,3.0.5,59.903881825196414,
To what extent did the music make you feel ,SCARED,0,10,10,11,,,,,,,,,,,,,,,1,0.8182467980004731,999,001,2019_Apr_09_1554,MusicAffectPsychophysiology2019,3.0.5,59.903881825196414,
To what extent did the music make you feel ,FRUSTRATED,0,11,11,3,,,,,,,,,,,,,,,1,0.36928426700069394,999,001,2019_Apr_09_1554,MusicAffectPsychophysiology2019,3.0.5,59.903881825196414,
