Instruction	Word	song	valence	arousal	marker	pracwords.thisRepN	pracwords.thisTrialN	pracwords.thisN	pracwords.thisIndex	songtrials.thisRepN	songtrials.thisTrialN	songtrials.thisN	songtrials.thisIndex	words.thisRepN	words.thisTrialN	words.thisN	words.thisIndex	begin.keys	begin.rt	arousalkey.keys	arousalkey.rt	valencekey.keys	valencekey.rt	likekey.keys	likekey.rt	WordResponse.keys	WordResponse.rt	key_resp_2.keys	key_resp_2.rt	participant	session	date	expName	psychopyVersion	frameRate
																		space	13.45058948											999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
																				5	5.892157527									999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
																						5	2.669277643							999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
																								5	1.767842258					999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	FRUSTRATED					0	0	0	3																	1	4.716044866			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SCARED					0	1	1	11																	1	1.518490374			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SAD					0	2	2	0																	2	6.733733466			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	TENDER					0	3	3	10																	2	6.501319356			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ACTIVE					0	4	4	9																	4	4.735168157			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ALERT					0	5	5	8																	2	5.335157551			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	EXCITED					0	6	6	7																	5	2.618467075			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANXIOUS 					0	7	7	1																	1	2.151323415			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	GUILTY					0	8	8	5																	1	1.418608352			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANGRY					0	9	9	2																	1	1.201394299			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	HAPPY					0	10	10	6																	5	1.999331927			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ASHAMED					0	11	11	4																	1	2.069546958			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	EXCITED	30MonoWAV/30MonoH2.wav	2	2	6					0	0	0	5	0	0	0	7			3	6.817202557	4	5.748449205			4	6.150568663			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	FRUSTRATED	30MonoWAV/30MonoH2.wav	2	2	6					0	0	0	5	0	1	1	3									1	2.151633376			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SAD	30MonoWAV/30MonoH2.wav	2	2	6					0	0	0	5	0	2	2	0									1	1.633064207			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ACTIVE	30MonoWAV/30MonoH2.wav	2	2	6					0	0	0	5	0	3	3	9									4	1.918041936			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	GUILTY	30MonoWAV/30MonoH2.wav	2	2	6					0	0	0	5	0	4	4	5									1	1.566686625			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ASHAMED	30MonoWAV/30MonoH2.wav	2	2	6					0	0	0	5	0	5	5	4									1	2.502162085			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	HAPPY	30MonoWAV/30MonoH2.wav	2	2	6					0	0	0	5	0	6	6	6									4	1.751968207			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	TENDER	30MonoWAV/30MonoH2.wav	2	2	6					0	0	0	5	0	7	7	10									3	1.984655517			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SCARED	30MonoWAV/30MonoH2.wav	2	2	6					0	0	0	5	0	8	8	11									2	5.318471247			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANXIOUS 	30MonoWAV/30MonoH2.wav	2	2	6					0	0	0	5	0	9	9	1									1	1.368950706			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ALERT	30MonoWAV/30MonoH2.wav	2	2	6					0	0	0	5	0	10	10	8									4	2.235657387			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANGRY	30MonoWAV/30MonoH2.wav	2	2	6					0	0	0	5	0	11	11	2									1	1.266567135			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
		30MonoWAV/30MonoH2.wav	2	2	6					0	0	0	5																	999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	TENDER	30MonoWAV/30MonoF3.wav	1	2	3					0	1	1	2	0	0	0	10			3	5.911116534	1	6.018053122			4	6.666018363			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	HAPPY	30MonoWAV/30MonoF3.wav	1	2	3					0	1	1	2	0	1	1	6									1	2.068295404			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SCARED	30MonoWAV/30MonoF3.wav	1	2	3					0	1	1	2	0	2	2	11									4	2.485809406			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SAD	30MonoWAV/30MonoF3.wav	1	2	3					0	1	1	2	0	3	3	0									3	1.534544621			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	EXCITED	30MonoWAV/30MonoF3.wav	1	2	3					0	1	1	2	0	4	4	7									1	1.452555979			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	GUILTY	30MonoWAV/30MonoF3.wav	1	2	3					0	1	1	2	0	5	5	5									4	4.251352749			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
