trialunique,ACTIVE_rating,ALERT_rating,ANGRY_rating,ANXIOUS_rating,ASHAMED_rating,EXCITED_rating,FRUSTRATED_rating,GUILTY_rating,HAPPY_rating,SAD_rating,SCARED_rating,TENDER_rating,ACTIVE_RT,ALERT_RT,ANGRY_RT,ANXIOUS_RT,ASHAMED_RT,EXCITED_RT,FRUSTRATED_RT,GUILTY_RT,HAPPY_RT,SAD_RT,SCARED_RT,TENDER_RT,id,songmark,affectcat,targetemotion,valence,arousal,valencekey.keys,valencekey.rt,arousalkey.keys,likekey.keys,likekey.rt,prac,depression,EOT,DDF,DIF,TAS,gender_recoded,musichours,yearsplay
1_1_1,4,5,3,5,1,1,1,1,1,3,5,4,1.9523341009999058,1.3021002699997553,1.8356083819999185,1.3516859279998243,1.2026356770002167,1.2166210830000637,1.4022887170003742,1.718657372999587,1.2010694639993744,3.6355884970007537,2.202322244000243,1.9683560239991493,1,1,High Arousal/Negative Valence,Fear,Negative,high,1,2.0183847420003076,1,NA,NA,trial,3,16,15,15,46,male,1,5+
1_1_2,4,3,1,5,1,3,2,4,1,2,4,2,1.93516036300025,1.9851503779991617,1.88407776799977,1.817427771000439,1.618871296001089,1.3183532359998935,3.600385906000156,1.8185389129994292,1.8352958889990987,1.500587814998653,1.1505753569999797,1.134968108000976,1,1,High Arousal/Negative Valence,Fear,Negative,high,2,1.1020090599995456,2,NA,NA,trial,3,16,15,15,46,male,1,5+
1_10_1,1,1,2,4,4,1,2,5,2,5,4,4,5.034662093999941,2.785067880000497,2.068201714000679,1.2024607570001535,1.5846704320001663,2.0990418139999747,2.268433176999679,4.167890747999991,1.5022034730000087,1.318036048999602,1.702016543999889,1.381963236000047,1,10,Low Arousal/Negative Valence,Sad,Negative,Low,2,2.985118403999877,2,NA,NA,trial,3,16,15,15,46,male,1,5+
1_10_2,1,2,2,3,4,1,3,4,1,4,2,4,1.4729372729998431,2.1860279590000573,2.0175548679999338,1.5683444939995752,1.0839189199996326,1.6686270420004803,1.804458552000142,2.218213707999894,1.4687201599999753,1.5685990719994152,1.4660968210000647,1.0855872049996833,1,10,Low Arousal/Negative Valence,Sad,Negative,Low,2,2.4182234649997554,2,NA,NA,trial,3,16,15,15,46,male,1,5+
1_11_1,1,2,1,3,4,1,3,5,1,4,3,4,1.068152662999637,1.5851699109998663,1.1508060410005783,1.8011162650000188,2.06711199900019,3.2015994269995645,1.8665482839996912,1.202088998000363,1.0857215209998685,1.2345980740001323,1.034691716999987,1.7355517180003517,1,11,Low Arousal/Negative Valence,Sad,Negative,Low,2,2.5337689790003424,1,NA,NA,trial,3,16,15,15,46,male,1,5+
1_11_2,1,2,1,3,3,1,2,2,1,3,2,3,1.1682661349996124,1.434554178000326,2.0691104090001318,1.0017221170000994,1.1511823210003058,1.0335682860004454,1.6848259930002314,0.983670716999768,1.0185544740006662,2.965161017000355,1.9174242909994064,1.2687169289993108,1,11,Low Arousal/Negative Valence,Sad,Negative,Low,1,2.000671433000207,1,NA,NA,trial,3,16,15,15,46,male,1,5+
1_12_1,1,2,1,3,4,1,2,4,1,4,4,2,1.3503520209997077,1.0684763440003735,1.3173049989991341,1.1184012880003138,1.4008299669994813,1.3499857509996218,1.1846965559998353,1.4018396870005745,1.2336826379996637,1.4353219169997828,1.3348743059996195,1.2328517240002839,1,12,Low Arousal/Negative Valence,Sad,Negative,Low,2,2.468056002000594,2,NA,NA,trial,3,16,15,15,46,male,1,5+
1_12_2,1,1,1,1,2,1,1,2,1,3,3,2,1.2511260230003245,1.3187366319998546,1.3681903130000137,1.4691133120013546,1.1197774510001182,1.0335043909999513,0.9189577289998851,0.9176592210005765,0.9181239650006319,1.368688029000623,0.9839206439992267,0.9510381290001533,1,12,Low Arousal/Negative Valence,Sad,Negative,Low,2,2.401492238999708,2,NA,NA,trial,3,16,15,15,46,male,1,5+
1_13_1,3,3,1,2,1,3,1,2,3,2,1,3,1.3850399000002653,1.8024894500003938,1.069546437000099,1.1174569029999475,1.4862162870003885,2.773448597999959,1.053311047000534,1.136365848999958,1.4850504880005246,1.740720384999804,1.9848362239999915,3.3518358499995884,1,13,Low Arousal/Positve Valence,Tender,Positive,Low,3,2.1731515080000463,3,NA,NA,trial,3,16,15,15,46,male,1,5+
1_13_2,2,2,1,1,1,1,1,1,3,2,1,3,1.6847583159997157,1.91860822200033,1.0190572390001762,0.9506611669994527,0.7670327759997235,1.2187301700005264,0.9353261810001641,1.002125302999957,2.234394441999939,1.1850998620002429,1.5189743170003567,1.1844842419995985,1,13,Low Arousal/Positve Valence,Tender,Positive,Low,4,1.2505335599998944,2,NA,NA,trial,3,16,15,15,46,male,1,5+
